SubCause,Cause,Bug,BUILTINDL,GOLEAK,LOCKDL,GOAT_M,GOAT_U,GOAT_D1,GOAT_D2,GOAT_D3
AB-BA deadlock,Resource Deadlock,cockroach_10214,- (100),- (100),DL (12),PDL-2 (1),- (100),PDL-2 (26),PDL-2 (10),PDL-2 (2)
AB-BA deadlock,Resource Deadlock,cockroach_7504,- (100),- (100),DL (2),PDL-2 (2),- (100),PDL-2 (27),PDL-2 (6),PDL-2 (14)
AB-BA deadlock,Resource Deadlock,hugo_3251,GDL (1),TO/GDL (1),DL (1),GDL (1),- (100),- (100),GDL (34),GDL (4)
AB-BA deadlock,Resource Deadlock,kubernetes_13135,- (100),PDL (3),DL (1),PDL-2 (1),PDL-2 (13),PDL-2 (1),PDL-3 (2),PDL-3 (2)
AB-BA deadlock,Resource Deadlock,kubernetes_30872,- (100),PDL (10),DL (2),PDL-3 (3),PDL-2 (1),PDL-3 (1),PDL-3 (2),PDL-3 (1)
AB-BA deadlock,Resource Deadlock,moby_4951,- (100),PDL (4),DL (3),PDL-2 (1),- (100),PDL-2 (53),PDL-2 (6),PDL-2 (3)
Channel,Communication Deadlock,cockroach_2448,- (100),PDL (1),- (100),PDL-2 (1),PDL-2 (1),PDL-2 (1),PDL-2 (1),PDL-2 (1)
Channel,Communication Deadlock,cockroach_24808,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Channel,Communication Deadlock,cockroach_25456,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Channel,Communication Deadlock,cockroach_35073,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Channel,Communication Deadlock,cockroach_35931,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Channel,Communication Deadlock,etcd_6857,- (100),PDL (2),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (2),PDL-1 (6),PDL-1 (6)
Channel,Communication Deadlock,grpc_1275,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Channel,Communication Deadlock,grpc_1424,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Channel,Communication Deadlock,grpc_660,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-3 (1),PDL-2 (1),PDL-2 (1)
Channel,Communication Deadlock,istio_17860,- (100),PDL (3),- (100),PDL-2 (3),PDL-2 (1),PDL-1 (1),PDL-1 (1),PDL-1 (2)
Channel,Communication Deadlock,kubernetes_38669,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Channel,Communication Deadlock,kubernetes_5316,- (100),PDL (1),- (100),PDL-1 (1),PDL-2 (1),PDL-1 (1),PDL-2 (1),PDL-1 (1)
Channel,Communication Deadlock,kubernetes_70277,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Channel,Communication Deadlock,moby_21233,- (100),PDL (1),- (100),PDL-2 (1),PDL-2 (1),PDL-2 (1),PDL-2 (1),PDL-2 (1)
Channel,Communication Deadlock,moby_33293,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (5),PDL-1 (2)
Channel,Communication Deadlock,moby_4395,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Channel,Communication Deadlock,syncthing_5795,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Channel & Condition Variable,Communication Deadlock,kubernetes_11298,GDL (6),TO/GDL (1),TO/GDL (72),GDL (12),- (100),- (100),- (100),- (100)
Channel & Condition Variable,Communication Deadlock,moby_27782,- (100),PDL (13),- (100),PDL-2 (2),- (100),- (100),PDL-2 (1),PDL-2 (2)
Channel & Context,Communication Deadlock,cockroach_10790,- (100),PDL (1),- (100),PDL-2 (2),PDL-2 (1),PDL-2 (5),PDL-2 (6),PDL-2 (1)
Channel & Context,Communication Deadlock,cockroach_13197,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Channel & Context,Communication Deadlock,cockroach_13755,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Channel & Context,Communication Deadlock,cockroach_18101,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Channel & Context,Communication Deadlock,grpc_862,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-2 (1),PDL-2 (1),PDL-1 (1)
Channel & Context,Communication Deadlock,istio_18454,- (100),PDL (2),- (100),PDL-2 (5),PDL-1 (10),PDL-2 (5),PDL-1 (1),PDL-1 (5)
Channel & Context,Communication Deadlock,kubernetes_25331,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Channel & Context,Communication Deadlock,moby_33781,- (100),PDL (15),- (100),PDL-1 (3),- (100),PDL-2 (1),PDL-2 (2),PDL-3 (6)
Channel & Lock,Mixed Deadlock,etcd_6873,- (100),- (100),- (100),PDL-2 (1),PDL-2 (1),PDL-2 (2),PDL-2 (2),PDL-2 (2)
Channel & Lock,Mixed Deadlock,etcd_7443,GDL (3),- (100),- (100),CRASH (14),- (100),- (100),- (100),PDL-2 (12)
Channel & Lock,Mixed Deadlock,etcd_7902,- (100),PDL (1),- (100),PDL-4 (1),PDL-4 (1),PDL-4 (1),PDL-4 (1),PDL-4 (1)
Channel & Lock,Mixed Deadlock,grpc_1353,- (100),PDL (1),- (100),PDL-3 (1),CRASH (1),PDL-3 (1),PDL-3 (1),PDL-3 (1)
Channel & Lock,Mixed Deadlock,grpc_1460,- (100),PDL (1),- (100),PDL-2 (1),- (100),PDL-2 (1),PDL-2 (1),PDL-2 (1)
Channel & Lock,Mixed Deadlock,istio_16224,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),PDL-1 (1)
Channel & Lock,Mixed Deadlock,kubernetes_10182,- (100),PDL (1),- (100),PDL-2 (1),- (100),PDL-2 (44),PDL-2 (4),PDL-2 (1)
Channel & Lock,Mixed Deadlock,kubernetes_1321,- (100),PDL (78),- (100),PDL-2 (9),- (100),PDL-2 (3),PDL-2 (1),PDL-2 (1)
Channel & Lock,Mixed Deadlock,kubernetes_26980,GDL (2),TO/GDL (1),TO/GDL (7),GDL (1),- (100),GDL (7),GDL (4),GDL (1)
Channel & Lock,Mixed Deadlock,kubernetes_6632,- (100),PDL (1),- (100),PDL-2 (2),PDL-2 (1),PDL-2 (11),PDL-2 (1),PDL-2 (2)
Channel & Lock,Mixed Deadlock,moby_28462,- (100),PDL (1),- (100),PDL-2 (1),- (100),PDL-2 (1),PDL-2 (1),PDL-2 (1)
Channel & Lock,Mixed Deadlock,serving_2137,- (100),- (100),- (100),- (100),- (100),- (100),- (100),GDL (9)
Channel & WaitGroup,Mixed Deadlock,cockroach_1055,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),- (100),GDL (8),GDL (3),GDL (1)
Channel & WaitGroup,Mixed Deadlock,cockroach_1462,- (100),TO/GDL (35),TO/GDL (4),GDL (11),- (100),GDL (6),GDL (6),GDL (1)
Condition Variable,Communication Deadlock,moby_29733,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Condition Variable,Communication Deadlock,moby_30408,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Double locking,Resource Deadlock,cockroach_584,- (100),PDL (1),DL (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Double locking,Resource Deadlock,cockroach_9935,- (100),PDL (1),DL (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Double locking,Resource Deadlock,etcd_10492,GDL (1),TO/GDL (1),DL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Double locking,Resource Deadlock,etcd_5509,- (100),- (100),TO/GDL (11),GDL (2),- (100),GDL (1),GDL (1),GDL (1)
Double locking,Resource Deadlock,etcd_6708,GDL (1),TO/GDL (1),DL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Double locking,Resource Deadlock,grpc_3017,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),- (100),GDL (2),GDL (1),GDL (1)
Double locking,Resource Deadlock,grpc_795,GDL (1),TO/GDL (1),DL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Double locking,Resource Deadlock,hugo_5379,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Double locking,Resource Deadlock,moby_17176,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Double locking,Resource Deadlock,moby_36114,- (100),PDL (1),DL (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Double locking,Resource Deadlock,moby_7559,- (100),PDL (1),DL (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Double locking,Resource Deadlock,syncthing_4829,GDL (1),TO/GDL (1),DL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Misuse WaitGroup,Mixed Deadlock,moby_25384,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
RWR deadlock,Resource Deadlock,cockroach_16167,- (100),- (100),DL (1),- (100),- (100),GDL (3),GDL (3),GDL (1)
RWR deadlock,Resource Deadlock,cockroach_3710,- (100),PDL (77),DL (5),PDL-2 (7),- (100),- (100),PDL-2 (15),PDL-2 (3)
RWR deadlock,Resource Deadlock,cockroach_6181,- (100),PDL (1),DL (7),PDL-4 (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1)
RWR deadlock,Resource Deadlock,kubernetes_58107,- (100),- (100),- (100),PDL-1 (1),- (100),GDL (1),GDL (1),GDL (1)
RWR deadlock,Resource Deadlock,kubernetes_62464,- (100),- (100),DL (1),PDL-2 (2),- (100),- (100),PDL-2 (2),PDL-2 (4)
-,-,-,20,58,34,65,44,60,64,66
